Latitude: -0.063000, Longitude: -0.020000
Latitude: -0.020000, Longitude: -0.026000
Latitude: -0.071000, Longitude: -0.075000
Latitude: 0.041000, Longitude: -0.007000
Latitude: 0.005000, Longitude: -0.069000
Latitude: -0.087000, Longitude: 0.028000
Latitude: -0.106000, Longitude: -0.153000
Latitude: 0.024000, Longitude: -0.019000
Latitude: 0.006000, Longitude: -0.049000
Latitude: -0.039000, Longitude: 0.088000
Latitude: -0.206000, Longitude: -0.056000
Latitude: -0.052000, Longitude: -0.108000
Latitude: -0.086000, Longitude: 0.023000
Latitude: 0.001000, Longitude: 0.168000
Latitude: -0.232000, Longitude: -0.125000
Latitude: -0.096000, Longitude: -0.018000
Latitude: -0.182000, Longitude: 0.070000
Latitude: -0.003000, Longitude: 0.101000
Latitude: -0.161000, Longitude: -0.128000
Latitude: -0.143000, Longitude: -0.068000
Latitude: -0.132000, Longitude: -0.026000
Latitude: 0.074000, Longitude: 0.073000
Latitude: -0.130000, Longitude: -0.161000
Latitude: -0.048000, Longitude: 0.014000
Latitude: -0.048000, Longitude: 0.079000
Latitude: -0.033000, Longitude: 0.088000
Latitude: -0.037000, Longitude: -0.055000
Latitude: 0.054000, Longitude: 0.001000
Latitude: 0.041000, Longitude: 0.042000
Latitude: -0.094000, Longitude: 0.049000
Latitude: -0.066000, Longitude: -0.019000
Latitude: -0.040000, Longitude: 0.023000
Latitude: -0.042000, Longitude: 0.111000
Latitude: -0.090000, Longitude: 0.041000
Latitude: -0.007000, Longitude: 0.012000
Latitude: 0.022000, Longitude: -0.055000
